Particle Filename,Center X,Center Y,Radius
particle_352.png,533,535,14
particle_353.png,290,575,11
particle_354.png,950,47,11
particle_355.png,424,725,24
particle_356.png,827,586,20
particle_357.png,320,985,20
particle_358.png,706,909,17
particle_359.png,862,551,16
particle_360.png,405,884,15
particle_361.png,157,958,12
