Particle Filename,Center X,Center Y,Radius
particle_388.png,460,399,16
particle_389.png,485,476,16
particle_390.png,332,387,15
particle_391.png,70,511,14
particle_392.png,797,101,14
particle_393.png,75,200,12
particle_394.png,559,191,11
particle_395.png,917,428,20
particle_396.png,995,837,19
particle_397.png,820,1019,18
particle_398.png,880,741,16
particle_399.png,549,861,16
particle_400.png,737,376,14
particle_401.png,691,883,13
particle_402.png,268,481,12
particle_403.png,52,775,11
particle_404.png,649,914,17
particle_405.png,951,563,17
particle_406.png,728,898,15
particle_407.png,741,847,14
particle_408.png,574,760,13
particle_409.png,22,141,13
particle_410.png,927,813,13
particle_411.png,215,994,12
particle_412.png,316,494,12
particle_413.png,556,148,11
particle_414.png,453,929,23
particle_415.png,645,34,19
particle_416.png,700,856,17
particle_417.png,787,136,17
particle_418.png,722,104,16
particle_419.png,479,593,14
particle_420.png,671,13,14
particle_421.png,332,802,12
particle_422.png,808,411,12
particle_423.png,719,717,12
particle_424.png,721,560,12
particle_425.png,261,987,11
particle_426.png,14,229,11
particle_427.png,603,979,16
particle_428.png,347,289,16
particle_429.png,135,355,15
particle_430.png,537,349,14
particle_431.png,778,934,13
particle_432.png,116,207,12
particle_433.png,902,141,10
particle_434.png,863,638,23
particle_435.png,65,927,17
particle_436.png,632,137,15
particle_437.png,3,675,15
particle_438.png,199,7,14
particle_439.png,14,553,13
particle_440.png,181,681,24
particle_441.png,283,335,15
particle_442.png,493,668,13
particle_443.png,592,25,13
particle_444.png,34,313,13
particle_445.png,290,292,12
particle_446.png,759,596,12
particle_447.png,745,559,11
particle_448.png,47,699,19
particle_449.png,862,475,13
particle_450.png,706,118,13
particle_451.png,841,341,12
particle_452.png,40,70,12
particle_453.png,437,709,12
particle_454.png,794,753,11
particle_455.png,119,403,17
particle_456.png,581,499,15
particle_457.png,914,173,12
particle_458.png,101,826,11
particle_459.png,796,247,11
particle_460.png,621,1069,26
particle_461.png,197,800,13
particle_462.png,122,332,12
particle_463.png,469,441,10
particle_464.png,1024,317,21
particle_465.png,167,713,13
particle_466.png,1010,951,11
particle_1.png,350,695,44
particle_2.png,649,226,38
particle_3.png,38,500,29
particle_4.png,668,361,40
particle_5.png,782,547,39
particle_6.png,298,355,31
particle_7.png,656,706,43
particle_8.png,830,181,37
particle_9.png,730,435,29
particle_10.png,987,656,33
particle_11.png,981,326,36
particle_12.png,135,496,36
particle_13.png,937,548,31
particle_14.png,307,619,40
particle_15.png,697,500,31
particle_16.png,310,415,30
particle_17.png,206,298,36
particle_18.png,177,754,33
particle_19.png,716,819,41
particle_20.png,169,106,39
particle_21.png,85,770,27
particle_22.png,890,823,41
particle_23.png,172,953,40
particle_24.png,381,544,32
particle_25.png,835,71,25
particle_26.png,587,646,29
particle_27.png,61,711,28
particle_28.png,206,164,33
particle_29.png,89,981,21
particle_30.png,574,283,48
particle_31.png,76,550,31
particle_32.png,723,231,31
particle_33.png,243,391,39
particle_34.png,968,41,37
particle_35.png,471,248,28
particle_36.png,412,719,41
particle_37.png,289,508,33
particle_38.png,460,67,32
particle_39.png,413,979,30
particle_40.png,538,471,33
particle_41.png,248,656,32
particle_42.png,127,728,39
particle_43.png,904,403,28
particle_44.png,863,262,40
particle_45.png,583,565,40
particle_46.png,343,380,36
particle_47.png,463,135,35
particle_48.png,218,506,32
particle_49.png,857,755,31
particle_50.png,475,794,38
particle_51.png,459,523,31
particle_52.png,57,356,27
particle_53.png,137,260,44
particle_54.png,662,880,25
particle_55.png,490,301,32
particle_56.png,127,1013,32
particle_57.png,839,443,32
particle_58.png,184,823,29
particle_59.png,40,820,28
particle_60.png,272,244,45
particle_61.png,340,958,33
particle_62.png,152,598,43
particle_63.png,694,293,32
particle_64.png,904,344,30
particle_65.png,339,297,47
particle_66.png,123,375,44
particle_67.png,699,1000,44
particle_68.png,32,765,33
particle_69.png,214,563,30
particle_70.png,259,459,27
particle_71.png,409,389,26
particle_72.png,347,87,22
particle_73.png,51,607,21
particle_74.png,783,989,31
particle_75.png,755,643,28
particle_76.png,986,82,28
particle_77.png,638,646,25
particle_78.png,119,131,24
particle_79.png,999,904,35
particle_80.png,391,217,33
particle_81.png,860,896,33
particle_82.png,921,890,31
particle_83.png,949,764,31
particle_84.png,543,801,28
particle_85.png,134,559,28
particle_86.png,656,573,27
particle_87.png,809,634,25
particle_88.png,299,146,28
particle_89.png,136,430,25
particle_90.png,734,145,25
particle_91.png,248,841,28
particle_92.png,896,128,27
particle_93.png,968,596,26
particle_94.png,639,122,22
particle_95.png,277,112,40
particle_96.png,693,181,31
particle_97.png,895,457,28
particle_98.png,148,171,27
particle_99.png,879,561,26
particle_100.png,812,807,39
particle_101.png,722,575,29
particle_102.png,521,236,25
particle_103.png,97,631,21
particle_104.png,879,985,26
particle_105.png,979,515,24
particle_106.png,755,61,23
particle_107.png,383,923,21
particle_108.png,395,601,28
particle_109.png,183,347,25
particle_110.png,256,263,45
particle_111.png,772,476,31
particle_112.png,422,657,25
particle_113.png,931,497,20
particle_114.png,109,248,47
particle_115.png,610,491,33
particle_116.png,814,712,23
particle_117.png,506,91,22
particle_118.png,73,301,19
particle_119.png,807,489,18
particle_120.png,519,526,28
particle_121.png,895,207,25
particle_122.png,673,605,16
particle_123.png,350,161,27
particle_124.png,50,200,24
particle_125.png,596,122,24
particle_126.png,755,693,22
particle_127.png,64,109,21
particle_128.png,727,94,21
particle_129.png,256,731,47
particle_130.png,842,346,44
particle_131.png,225,41,43
particle_132.png,883,505,39
particle_133.png,123,320,37
particle_134.png,501,727,36
particle_135.png,452,345,31
particle_136.png,911,87,29
particle_137.png,409,825,28
particle_138.png,788,397,24
particle_139.png,171,694,24
particle_140.png,979,979,30
particle_141.png,555,689,29
particle_142.png,447,190,27
particle_143.png,925,622,20
particle_144.png,184,416,39
particle_145.png,687,119,29
particle_146.png,770,211,23
particle_147.png,89,844,23
particle_148.png,404,80,19
particle_149.png,421,901,37
particle_150.png,674,931,29
particle_151.png,643,514,29
particle_152.png,56,655,23
particle_153.png,73,441,19
particle_154.png,935,248,32
particle_155.png,511,844,23
particle_156.png,698,625,20
particle_157.png,279,975,19
particle_158.png,922,163,31
particle_159.png,538,56,31
particle_160.png,325,33,27
particle_161.png,835,323,27
particle_162.png,676,427,24
particle_163.png,865,625,43
particle_164.png,241,448,40
particle_165.png,953,844,24
particle_166.png,512,177,28
particle_167.png,423,33,20
particle_168.png,223,347,15
particle_169.png,775,124,41
particle_170.png,743,729,29
particle_171.png,154,383,20
particle_172.png,351,589,19
particle_173.png,545,122,16
particle_174.png,896,323,24
particle_175.png,543,93,22
particle_176.png,587,267,28
particle_177.png,483,884,25
particle_178.png,843,563,24
particle_179.png,208,884,23
particle_180.png,838,520,20
particle_181.png,400,167,18
particle_182.png,105,395,27
particle_183.png,717,675,24
particle_184.png,521,925,21
particle_185.png,578,202,19
particle_186.png,265,877,19
particle_187.png,797,242,17
particle_188.png,299,249,27
particle_189.png,469,937,25
particle_190.png,119,76,21
particle_191.png,947,459,20
particle_192.png,730,325,14
particle_193.png,137,663,28
particle_194.png,83,262,23
particle_195.png,166,887,21
particle_196.png,299,814,33
particle_197.png,595,473,28
particle_198.png,631,997,27
particle_199.png,145,283,25
particle_200.png,13,587,21
particle_201.png,177,233,20
particle_202.png,757,188,20
particle_203.png,257,580,18
particle_204.png,109,938,23
particle_205.png,776,151,19
particle_206.png,481,476,28
particle_207.png,728,802,25
particle_208.png,503,25,24
particle_209.png,773,418,22
particle_210.png,911,266,16
particle_211.png,885,173,15
particle_212.png,332,530,14
particle_213.png,77,152,24
particle_214.png,845,489,21
particle_215.png,23,428,21
particle_216.png,241,917,25
particle_217.png,641,307,21
particle_218.png,795,881,19
particle_219.png,405,423,11
particle_220.png,251,329,20
particle_221.png,745,272,17
particle_222.png,525,344,16
particle_223.png,359,637,15
particle_224.png,621,1069,26
particle_225.png,227,787,21
particle_226.png,382,121,21
particle_227.png,254,409,28
particle_228.png,554,752,21
particle_229.png,139,29,14
particle_1.png,350,695,44
particle_2.png,649,226,38
particle_3.png,38,500,29
particle_4.png,668,361,40
particle_5.png,782,547,39
particle_6.png,298,355,31
particle_7.png,578,286,49
particle_8.png,656,706,43
particle_9.png,830,181,37
particle_10.png,472,795,39
particle_11.png,730,435,29
particle_12.png,343,301,41
particle_13.png,987,656,33
particle_14.png,981,326,36
particle_15.png,135,496,36
particle_16.png,937,548,31
particle_17.png,307,619,40
particle_18.png,41,211,36
particle_19.png,697,500,31
particle_20.png,310,415,30
particle_21.png,206,298,36
particle_22.png,177,754,33
particle_23.png,716,819,41
particle_24.png,169,106,39
particle_25.png,85,770,27
particle_26.png,890,823,41
particle_27.png,421,290,40
particle_28.png,172,953,40
particle_29.png,381,544,32
particle_30.png,835,71,25
particle_31.png,873,614,35
particle_32.png,587,646,29
particle_33.png,61,711,28
particle_34.png,136,254,49
particle_35.png,206,164,33
particle_36.png,127,398,49
particle_37.png,89,981,21
particle_38.png,820,337,45
particle_39.png,76,550,31
particle_40.png,723,231,31
particle_41.png,763,299,49
particle_42.png,125,376,45
particle_43.png,243,391,39
particle_44.png,496,301,37
particle_45.png,897,339,37
particle_46.png,968,41,37
particle_47.png,471,248,28
particle_48.png,412,719,41
particle_49.png,289,508,33
particle_50.png,460,67,32
particle_51.png,413,979,30
particle_52.png,136,725,44
particle_53.png,698,999,43
particle_54.png,338,952,40
particle_55.png,500,725,37
particle_56.png,538,471,33
particle_57.png,248,656,32
particle_58.png,560,787,49
particle_59.png,615,479,45
particle_60.png,904,403,28
particle_61.png,928,261,47
particle_62.png,863,262,40
particle_63.png,583,565,40
particle_64.png,259,256,37
particle_65.png,343,380,36
particle_66.png,463,135,35
particle_67.png,218,506,32
particle_68.png,857,755,31
particle_69.png,775,280,49
particle_70.png,89,325,48
particle_71.png,932,236,48
particle_72.png,459,523,31
particle_73.png,57,356,27
particle_74.png,127,419,41
particle_75.png,697,175,32
particle_76.png,112,1024,48
particle_77.png,765,332,41
particle_78.png,286,191,33
particle_79.png,662,880,25
particle_80.png,997,413,48
particle_81.png,257,721,40
particle_82.png,839,443,32
particle_83.png,184,823,29
particle_84.png,40,820,28
particle_85.png,88,482,49
particle_86.png,844,345,47
particle_87.png,812,800,33
particle_88.png,897,615,49
particle_89.png,676,136,48
particle_90.png,152,598,43
particle_91.png,694,293,32
particle_92.png,141,434,27
particle_93.png,275,244,47
particle_94.png,548,897,41
particle_95.png,352,473,39
particle_96.png,32,765,33
particle_97.png,214,563,30
particle_98.png,323,31,27
particle_99.png,259,459,27
particle_100.png,409,389,26
particle_101.png,347,87,22
particle_102.png,51,607,21
particle_103.png,823,460,49
particle_104.png,956,763,39
particle_105.png,783,989,31
particle_106.png,755,643,28
particle_107.png,986,82,28
particle_108.png,638,646,25
particle_109.png,119,131,24
particle_110.png,178,407,48
particle_111.png,203,415,45
particle_112.png,907,496,44
particle_113.png,399,214,40
particle_114.png,999,904,35
particle_115.png,860,896,33
particle_116.png,921,890,31
particle_117.png,543,801,28
particle_118.png,119,83,28
particle_119.png,134,559,28
particle_120.png,656,573,27
particle_121.png,809,634,25
particle_122.png,364,453,49
particle_123.png,98,457,47
particle_124.png,982,506,36
particle_125.png,346,164,29
particle_126.png,299,146,28
particle_127.png,599,121,26
particle_128.png,734,145,25
particle_129.png,856,569,49
particle_130.png,910,148,49
particle_131.png,441,533,48
particle_132.png,103,253,44
particle_133.png,161,349,41
particle_134.png,927,685,36
particle_135.png,248,841,28
particle_136.png,896,128,27
particle_137.png,298,820,27
particle_138.png,968,596,26
particle_139.png,639,122,22
particle_140.png,205,904,49
particle_141.png,273,115,45
particle_142.png,818,615,39
particle_143.png,273,584,39
particle_144.png,895,457,28
particle_145.png,148,171,27
particle_146.png,793,745,25
particle_147.png,746,736,21
particle_148.png,772,121,49
particle_149.png,91,433,48
particle_150.png,608,847,48
particle_151.png,131,277,40
particle_152.png,884,217,39
particle_153.png,685,631,37
particle_154.png,874,559,35
particle_155.png,424,904,33
particle_156.png,405,829,32
particle_157.png,765,196,31
particle_158.png,99,190,27
particle_159.png,423,651,26
particle_160.png,375,371,49
particle_161.png,615,295,49
particle_162.png,773,405,48
particle_163.png,77,639,43
particle_164.png,722,575,29
particle_165.png,521,236,25
particle_166.png,97,631,21
particle_167.png,473,297,48
particle_168.png,614,827,48
particle_169.png,157,449,47
particle_170.png,397,995,47
particle_171.png,640,685,45
particle_172.png,457,185,37
particle_173.png,190,356,35
particle_174.png,397,598,30
particle_175.png,512,179,29
particle_176.png,65,308,28
particle_177.png,879,985,26
particle_178.png,952,845,24
particle_179.png,755,61,23
particle_180.png,383,923,21
particle_181.png,381,122,20
particle_182.png,81,295,49
particle_183.png,154,974,49
particle_184.png,166,813,49
particle_185.png,221,37,49
particle_186.png,383,61,48
particle_187.png,506,649,43
particle_188.png,609,51,41
